Designator,Mid X,Mid Y,Rotation,Layer
C1,74.3,-63.6,0.0,top
J1,147.875,-42.3,180.0,top
J2,166.05,-42.2,270.0,top
SW1,158.15,-78.1,0.0,top
SW2,158.1,-93.8,0.0,top
U1,98.63,-47.73184,90.0,top
U2,117.41,-64.11,0.0,top
